FEN,Move,ELO,CPL,Is_Cheating,ELO_Range
7r/ppp2ppp/5k2/6N1/8/2P5/b1P2PPP/4R1K1 w - - 2 21,g5e4,1003,4,0,1001-1500
7r/ppp2ppp/5k2/8/4N3/2P5/b1P2PPP/4R1K1 b - - 3 21,f6f5,-1,168,0,
7r/ppp2ppp/8/5k2/4N3/2P5/b1P2PPP/4R1K1 w - - 4 22,e4g3,1003,3,0,1001-1500
7r/ppp2ppp/8/5k2/8/2P3N1/b1P2PPP/4R1K1 b - - 5 22,f5g6,-1,8,1,
7r/ppp2ppp/6k1/8/8/2P3N1/b1P2PPP/4R1K1 w - - 6 23,e1a1,1003,2,1,1001-1500
7r/ppp2ppp/6k1/8/8/2P3N1/b1P2PPP/R5K1 b - - 7 23,a2c4,-1,2,0,
7r/ppp2ppp/6k1/8/2b5/2P3N1/2P2PPP/R5K1 w - - 8 24,a1a7,1003,21,1,1001-1500
7r/Rpp2ppp/6k1/8/2b5/2P3N1/2P2PPP/6K1 b - - 0 24,h8d8,-1,26,0,
3r4/Rpp2ppp/6k1/8/2b5/2P3N1/2P2PPP/6K1 w - - 1 25,h2h4,1003,8,1,1001-1500
3r4/Rpp2ppp/6k1/8/2b4P/2P3N1/2P2PP1/6K1 b - - 0 25,d8d1,-1,9,1,
8/Rpp2ppp/6k1/8/2b4P/2P3N1/2P2PP1/3r2K1 w - - 1 26,g1h2,1003,9,0,1001-1500
8/Rpp2ppp/6k1/8/2b4P/2P3N1/2P2PPK/3r4 b - - 2 26,d1d2,-1,44,0,
8/Rpp2ppp/6k1/8/2b4P/2P3N1/2Pr1PPK/8 w - - 3 27,a7b7,1003,12,0,1001-1500
